Amelia|||Album||0
BEAUTIFUL CHAOS|||Album||0
Brat and it’s completely different but also still brat||Charli XCX|Compilation|2024|0
Confessions|||Album||0
Diamonds & Dancefloors|||Album||0
Don't Click Play|||Album||0
emails i can’t send fwd:|||Album||0
Fanfare: The Lost Demos|||Album||10
Found Heaven|||Album||0
Future Nostalgia (The Moonlight Edition)|||Album||0
growing down|||Album||0
Heaven & Hell|||Album||0
High Concept (Deluxe)|||Album||0
I feel|||Album||0
Kid Krow, Decomposed (5 Year Anniversary)|||Album||0
Persona 3 Reload Original Soundtrack|||Album||0
RABBITHOLE|||Album||0
Radical Optimism|||Album||0
Ruby|||Album||0
SALVATION|||Album||0
Short n' Sweet (Deluxe)|||Album||0
Silence Between Songs|||Album||0
Superache|||Album||0
Virgin|||Album||0
